SCH_ID,X1NCESID,W1MATHTCH,W1SCITCH,W3HSTRANS,X1SEX,X1RACE,X1TXMTH,X1TXMSEM,X1TXMSCR,X1TXMTSCOR,X1TXMQUINT,X1TXMPROF1,X1TXMPROF2,X1TXMPROF3,X1TXMPROF4,X1TXMPROF5,X1PAR1OCC_STEM1,X1PAR1OCC_STEM2,X1PAR2OCC_STEM1,X1PAR2OCC_STEM2,X1PAREDU,X1FAMINCOME,X1MTHID,X1MTHUTI,X1MTHEFF,X1MTHINT,X1SCIUTI,X1SCIEFF,X1SCIINT
-5,-5,0,42.344314,31.788463,1,8,-0.3717,0.2455,34.6363,46.8918,2,0.9617,0.4554,0.1502,0.0552,0.0505,-8,-5,-8,-5,-8,-8,-1.73,0.9,-2.92,-1.56,-0.76,0.67,0.5
-5,-5,0,0,120.083282,2,8,-0.3672,0.2724,34.7062,46.9388,2,0.9624,0.4593,0.1516,0.0553,0.0505,-8,-5,-8,-5,-8,-8,-0.57,-1.33,-0.56,-0.29,0.1,0.25,0.11
-5,-5,52.941211,53.368601,43.342182,1,8,1.5791,0.2398,59.2757,67.1436,5,1,0.9963,0.9952,0.8286,0.319,0,-5,0,-5,7,13,1.76,-0.93,1.62,1.02,-0.89,-0.59,-0.17
-5,-5,198.032413,0,0,2,8,-0.5388,0.2467,32.0632,45.1566,2,0.9293,0.3189,0.1067,0.05,0.0492,0,-5,0,-5,3,3,0,-1.74,-0.61,0.49,0.1,-0.17,0.56
-5,-5,0,703.577575,512.09761,2,8,-0.3139,0.2778,35.5248,47.4921,2,0.9693,0.5049,0.1699,0.0575,0.0511,-8,-5,-8,-5,-8,-8,-0.57,1.31,0.1,0.19,1.27,-0.48,-1.38
-5,-5,0,0,0,1,-9,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-5,-8,-5,-8,-8,-8,-8,-8,-8,-8,-8,-8
-5,-5,349.000606,0,222.405182,2,8,-0.2276,0.2679,36.8328,48.3878,3,0.978,0.5765,0.2048,0.0615,0.052,-8,-5,-8,-5,-8,-8,0.6,0.9,0.27,-0.29,0.71,-0.05,0.94
-5,-5,449.342313,408.17024,262.155225,2,5,1.1372,0.24,54.1378,62.5559,5,0.9999,0.9862,0.9682,0.5359,0.1544,0,-5,0,-5,5,6,1.76,1.31,1.62,2.08,0.28,1.83,0.54
-5,-5,254.411793,0,107.753543,2,8,-1.8328,0.3294,18.5568,31.7241,1,0.0994,0.0253,0.03,0.0377,0.0464,0,-5,-7,-5,2,1,0,1.31,1.62,2.08,-1.03,-0.16,-2.22
-5,-5,0,92.770759,64.663774,2,8,-1.178,0.242,23.8426,38.5212,1,0.5574,0.0754,0.0424,0.0405,0.047,-8,-5,-8,-5,-8,-8,0,1.31,-9,0.29,-9,-0.77,-0.26
-5,-5,116.72454,110.635099,84.455383,1,8,0.3907,0.2425,45.1561,54.806,4,0.9982,0.8939,0.6361,0.1342,0.0675,4,-5,-7,-5,4,6,-1.13,-0.3,-0.17,-0.36,-0.94,-0.05,-0.68
-5,-5,434.710173,346.788575,259.35033,2,6,-0.1875,0.2517,37.4302,48.8039,3,0.9812,0.6081,0.2233,0.0636,0.0525,0,-5,0,-5,2,3,0.6,-0.3,-0.58,0.19,-0.33,-0.05,0.16
-5,-5,60.103405,55.256882,63.479778,1,2,1.7811,0.2379,61.5218,69.24,5,1,0.998,0.998,0.9033,0.4387,5,-5,1,-5,5,7,1.76,0.11,1.62,1.72,0.15,0.25,-1.07
-5,-5,271.163654,306.452223,257.747845,2,8,0.5843,0.2629,47.5266,56.8163,4,0.9992,0.9355,0.776,0.1918,0.0784,0,-5,-7,-5,2,1,0.03,-0.3,0.1,-0.29,-0.47,0.25,-0.28
-5,-5,0,0,107.301786,2,-9,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-5,-8,-5,-8,-8,-8,-8,-8,-8,-8,-8,-8
-5,-5,19.998867,22.461705,14.968093,2,2,0.4053,0.2449,45.3364,54.9576,4,0.9983,0.8977,0.6476,0.1376,0.0681,0,-5,0,-5,4,6,-1.73,1.31,-0.29,-0.16,-0.47,-0.91,-1.44
-5,-5,0,0,136.97381,1,-9,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-5,-8,-5,-8,-8,-8,-8,-8,-8,-8,-8,-8
-5,-5,0,0,295.44948,1,5,0.4189,0.2475,45.5047,55.0993,4,0.9984,0.9012,0.6583,0.141,0.0688,0,-5,-7,-5,1,7,0.56,-0.3,1.34,0.3,1.69,1.83,2.03
-5,-5,41.737441,0,22.153704,1,2,1.3177,0.2371,56.2576,64.4295,5,1,0.9919,0.985,0.6735,0.2061,-8,-5,-8,-5,-8,-8,0.6,-0.7,0.1,0.55,0.1,0.25,0.89
-5,-5,137.79026,144.022802,96.704899,1,6,-0.2129,0.2553,37.0524,48.5401,3,0.9792,0.5882,0.2114,0.0622,0.0522,0,-5,-7,-5,2,2,0.6,-0.3,0.1,0.19,-0.89,0.25,0.16
-5,-5,30.828488,0,31.035229,1,5,-0.0844,0.2695,38.929,49.8739,3,0.9875,0.6822,0.2784,0.0701,0.054,-8,-5,-8,-5,-8,-8,-0.53,-0.3,-1.41,-0.71,1.27,0.69,1
-5,-5,186.331907,203.871001,139.470982,2,8,-0.0382,0.3002,39.5812,50.3536,3,0.9896,0.7119,0.3065,0.0736,0.0548,0,-5,0,-5,2,4,1.76,0.27,0.94,1.32,0.1,0.25,0.16
-5,-5,135.852087,159.012428,121.249794,2,8,-0.4723,0.2724,33.0825,45.847,2,0.9444,0.3708,0.1218,0.0518,0.0497,0,-5,0,-5,2,3,-1.13,-0.3,-1.14,-1.68,-0.89,-0.89,-1.05
-5,-5,0,46.018084,71.921017,1,8,-0.6828,0.2146,29.9284,43.6624,2,0.884,0.2251,0.0817,0.0467,0.0485,0,-5,0,-5,2,5,-0.57,-9,-1.02,-0.18,-0.33,-0.59,-1.38
-5,-5,63.868937,0,51.951076,1,2,1.4436,0.2295,57.721,65.7365,5,1,0.9944,0.9912,0.7565,0.2544,0,-5,-7,-5,1,1,0.6,-0.3,0.1,-0.66,0.1,0.25,-1.84
-5,-5,101.163761,0,84.554765,2,8,-0.0439,0.2392,39.5018,50.2947,3,0.9894,0.7084,0.3029,0.0731,0.0547,-8,-5,-8,-5,-8,-8,0.6,0.27,0.95,0.87,-0.33,-0.05,-0.63
-5,-5,122.925733,221.470026,168.369558,1,2,0.3935,0.2456,45.191,54.8354,4,0.9982,0.8947,0.6383,0.1349,0.0676,4,-5,0,-5,7,13,0.6,0.27,-1.02,0.19,0.84,0.56,1.64
-5,-5,0,0,342.071442,1,8,1.0047,0.2498,52.5689,61.1801,5,0.9999,0.9797,0.9462,0.4328,0.127,4,-5,4,-5,7,13,-0.57,0.9,-9,0.96,1.27,1.1,0.15
-5,-5,383.60016,433.520939,360.34186,2,8,-0.2162,0.2521,37.0026,48.5055,3,0.979,0.5856,0.2099,0.062,0.0521,-8,-5,-8,-5,-8,-8,-0.57,-0.7,-1.41,-0.29,-0.33,-1.33,-0.67
-5,-5,242.912989,225.873495,178.940423,2,8,-0.72,0.2685,29.4005,43.2763,2,0.869,0.2054,0.0766,0.046,0.0483,0,-5,0,-5,2,2,-0.57,0.9,-0.17,0.14,0.1,-0.48,0.16
-5,-5,0,205.129664,162.270445,2,6,-0.1367,0.2685,38.1755,49.3308,3,0.9846,0.6459,0.2491,0.0666,0.0532,0,-5,0,-5,2,5,0,-0.93,-0.75,0.19,-1.5,-1.33,-1.38
-5,-5,0,290.855398,202.391263,2,8,-0.1134,0.2539,38.5134,49.573,3,0.986,0.6625,0.2618,0.0681,0.0536,0,-5,0,-5,4,3,0,-1.33,-0.17,-0.18,-7,-7,-7
-5,-5,0,0,69.796873,1,-9,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-5,-8,-5,-8,-8,-8,-8,-8,-8,-8,-8,-8
-5,-5,268.072856,279.155383,222.629544,2,8,0.3129,0.232,44.1891,53.9985,4,0.9975,0.8715,0.5732,0.1178,0.0642,0,-5,0,-5,2,3,0.6,0.9,0.55,0.87,-7,-7,-7
-5,-5,0,0,197.240793,1,3,2.1942,0.2584,65.5473,73.529,5,1,0.9994,0.9997,0.973,0.7181,0,-5,4,-5,7,13,1.76,-0.13,1.34,2.08,0.71,1.1,0.16
-5,-5,0,384.54548,241.794324,2,6,1.0292,0.2402,52.8597,61.4345,5,0.9999,0.9811,0.9511,0.4515,0.1315,0,-5,-7,-5,2,5,0.03,-1.74,-0.17,0.49,0.66,0.25,0.86
-5,-5,307.447438,0,252.711536,2,3,-1.1682,0.23,23.9443,38.6225,1,0.5661,0.0768,0.0428,0.0406,0.047,0,-5,-7,-5,4,3,0.03,0.27,-0.58,0.39,-0.89,-2.07,-2.59
-5,-5,0,0,91.805242,2,-9,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-5,-8,-5,-8,-8,-8,-8,-8,-8,-8,-8,-8
-5,-5,0,0,177.508834,1,-9,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-5,-8,-5,-8,-8,-8,-8,-8,-8,-8,-8,-8
-5,-5,49.179004,85.796753,70.504344,1,8,1.5706,0.2238,59.1788,67.0552,5,1,0.9962,0.995,0.8246,0.3146,0,-5,0,-5,3,3,0.6,-0.7,0.1,0.19,0.1,-0.05,0.16
-5,-5,290.697725,0,224.926495,1,8,-0.5318,0.2888,32.1697,45.2292,2,0.931,0.3241,0.1081,0.0501,0.0493,-8,-5,-8,-5,-8,-8,-1.73,-0.3,-0.58,-1.79,0.1,0.25,0.49
-5,-5,35.12527,33.903885,0,2,2,1.2297,0.2431,55.2272,63.5164,5,0.9999,0.9895,0.9782,0.6082,0.1785,-8,-5,-8,-5,-8,-8,0.6,0.5,-0.17,0.19,-0.33,-0.05,0.49
