SCH_ID,X1NCESID,W1MATHTCH,W1SCITCH,W3HSTRANS,X1SEX,X1RACE,X1TXMTH,X1TXMSEM,X1TXMSCR,X1TXMTSCOR,X1TXMQUINT,X1TXMPROF1,X1TXMPROF2,X1TXMPROF3,X1TXMPROF4,X1TXMPROF5,X1PAR1OCC_STEM1,X1PAR1OCC_STEM2,X1PAR2OCC_STEM1,X1PAR2OCC_STEM2,X1PAREDU,X1FAMINCOME,X1MTHID,X1MTHUTI,X1MTHEFF,X1MTHINT,X1SCIUTI,X1SCIEFF,X1SCIINT
-5,-5,110.342061,116.065535,72.899838,2,8,0.088,0.2518,41.3005,51.6636,3,0.9938,0.782,0.3936,0.0853,0.0574,0,-5,0,-5,2,3,0,-0.7,-0.17,0.19,-0.89,-0.48,-1
-5,-5,223.93676,234.065888,152.841608,1,8,-1.8773,0.3403,18.3089,31.2621,1,0.085,0.0238,0.0296,0.0376,0.0463,0,-5,0,-5,5,8,-1.73,-0.7,-1.41,-1.01,0.1,-0.59,-0.67
-5,-5,0,0,37.939345,1,-9,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-5,-8,-5,-8,-8,-8,-8,-8,-8,-8,-8,-8
-5,-5,0,0,141.441439,1,6,-1.0591,0.3214,25.128,39.7555,1,0.6586,0.0954,0.0478,0.0415,0.0472,-7,-5,0,-5,2,1,0.6,-0.47,-9,-9,-7,-7,-7
-5,-5,327.022371,365.217876,258.948279,2,8,1.3741,0.2225,56.9158,65.0157,5,1,0.9931,0.9882,0.7125,0.2264,0,-5,1,-5,5,8,1.76,0.9,0.94,0.56,0.1,0.25,0.16
-5,-5,219.119041,238.759222,188.807154,1,8,-0.8297,0.2462,27.9122,42.1374,2,0.8157,0.1578,0.0643,0.0442,0.0479,0,-5,0,-5,2,4,-0.6,0.27,-9,-0.18,-1.32,-0.49,0.94
-5,-5,297.836376,321.720069,212.841794,2,8,1.5439,0.2279,58.8739,66.7776,5,1,0.9959,0.9943,0.8116,0.3009,0,-5,0,-5,5,5,1.76,0.9,0.1,1.02,1.27,1.83,1.64
-5,-5,89.827542,109.89714,73.596168,1,5,-0.1031,0.2723,38.6622,49.6803,3,0.9866,0.6696,0.2676,0.0688,0.0537,0,-5,0,-5,2,2,0,0.5,0.1,0.19,-0.33,-0.16,0.16
-5,-5,0,0,11.399827,2,2,-0.1017,0.2589,38.6813,49.6942,3,0.9866,0.6705,0.2684,0.0689,0.0537,-7,-5,-7,-5,1,1,0.03,1.31,-1.14,0.86,1.27,-1.02,1.26
-5,-5,379.313097,384.081946,335.493161,2,8,0.9471,0.2387,51.885,60.5829,5,0.9998,0.9761,0.933,0.3905,0.1174,0,-5,0,-5,5,5,1.16,-0.3,1.62,0.57,0.1,0.69,0.16
